"","lote_id","finca_id","lat","lng","area","pbc","sem","c_year","mean_pbc"
"66",213,32,8.015372902,-76.70128365,3.29,2110.4,"19","2017",4555.8770859375
"67",214,32,8.015837835,-76.70216474,3.22,1584.3,"19","2017",5457.72663546798
"68",215,32,8.016404265,-76.70278191,3.63,931.95,"19","2017",5941.35513953488
"69",216,32,8.017029876,-76.70324596,2.46,1189.6,"19","2017",4026.67217061611
"70",217,32,8.017764469,-76.70421045,2.34,1095.2,"19","2017",3701.52125352113
"71",218,32,8.009905612,-76.69491088,2.44,2250.9,"19","2017",3773.19656640625
"72",219,32,8.01019089,-76.69595356,2.35,970.55,"19","2017",2748.86069411765
"73",221,32,8.010748381,-76.69695742,2.16,450.25,"19","2017",2723.9776745098
"74",222,32,8.011301643,-76.69795803,2.16,833.5,"19","2017",3089.91969019608
"75",223,32,8.011818463,-76.69893581,2,1011.7,"19","2017",3296.22407070707
"76",224,32,8.012441341,-76.70008187,2.46,1849.5,"19","2017",4440.32872020725
"77",225,32,8.013092115,-76.70127982,1.78,954.65,"19","2017",3062.69153191489
"78",226,32,8.013575887,-76.70216495,1.05,783.7,"19","2017",1882.30243243243
"79",227,32,8.014115086,-76.70321695,2.22,891.7,"19","2017",3760.63588235294
"80",315,38,7.81954285,-76.678678235,10.83,308,"19","2017",10853.6258015267
"81",264,36,7.80418293,-76.798066265,8.38,5343,"21","2017",12153.9629240506
"82",265,36,7.8040415,-76.79906617,8.15,51,"21","2017",12526.855394958
"83",266,36,7.80169992,-76.79970732,12.05,9257.5,"21","2017",19652.6297740586
"84",271,36,7.802141125,-76.804831415,10.74,3507,"21","2017",16360.5499570815
"85",274,36,7.802370145,-76.807894795,12.23,14218.5,"21","2017",18556.408292887
"86",261,36,7.80470755,-76.79511212,8.69,1640.5,"22","2017",10648.0144803493
"87",262,36,7.80503666,-76.79617092,8.22,4500,"22","2017",8763.77005982906
"88",267,36,7.80259082,-76.80090592,10.59,863,"22","2017",16853.4277226891
"89",268,36,7.80243312,-76.80185793,10.31,4367,"22","2017",16346.5480886076
"90",269,36,7.802266875,-76.8028461,10.5,4112.5,"22","2017",16391.0716033755
"91",270,36,7.8020932,-76.803827065,10.53,2322.5,"22","2017",15822.6263
"92",272,36,7.802228725,-76.805870885,11.03,5109,"22","2017",16841.2420297872
"93",273,36,7.802305295,-76.80688385,11.43,2197.5,"22","2017",17830.4756861925
"94",275,36,7.80244344,-76.808912305,12.35,949,"22","2017",21336.9992384937
"95",276,36,7.80470615,-76.810236975,8.38,637,"22","2017",14832.4155829787
"96",278,36,7.80655406,-76.81246907,5.29,3513,"22","2017",8687.74681896552
"97",319,38,7.82328258,-76.678422155,7.17,44.5,"22","2017",6076.30613765182
"98",210,32,8.013795252,-76.69914732,2.1,804.15,"25","2017",3475.11334821429
"99",316,38,7.820535935,-76.67861524,7.49,6925.7,"25","2017",7831.02595294118
"100",322,38,7.82494928,-76.67935994,5.71,2738.1,"25","2017",5242.27426086957
"101",323,38,7.824945835,-76.675737245,9.79,1454.8,"25","2017",6297.87505511811
