lote_id,finca_id,lat,lng,area,pbc,sem,c_year,pbc_ha,sum_pbc_ha,mean_pbc_a,id,id_altitud_ele,id_altitud_desc
111,29,7.937842158,-76.66681318,2.57,5009.9,17,2017,1949.37743190661,43807.6459143969,57421.4278858625,1,14.7,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1</td></tr></table>"
112,29,7.938746065,-76.6667325,3.46,3065.2,17,2017,885.895953757225,44042.6300578035,55956.0344412331,2,14.5,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>2</td></tr></table>"
113,29,7.93971882,-76.66653497,2.94,5388.8,17,2017,1832.92517006803,52861.4285714286,64692.4925170068,3,14.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>3</td></tr></table>"
114,29,7.940342654,-76.66671906,1.65,2011.4,17,2017,1219.0303030303,47268.2121212121,60883.0736363636,4,14.5,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>4</td></tr></table>"
115,29,7.941709799,-76.66626658,3.81,2456.9,17,2017,644.855643044619,39548.0446194226,53083.9052055993,5,16,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>5</td></tr></table>"
116,29,7.942794172,-76.66635859,2.3,778.9,17,2017,338.652173913043,41700.6739130435,55856.6492028986,6,16.1,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>6</td></tr></table>"
117,29,7.943873718,-76.66589765,2.72,2953.4,17,2017,1085.80882352941,44759.375,56270.1019607843,7,16.3,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>7</td></tr></table>"
118,29,7.945272919,-76.66503929,4.54,3935.9,17,2017,866.938325991189,48479.2841409692,60241.9131791483,8,16,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>8</td></tr></table>"
119,29,7.946500866,-76.66481771,4.65,4866.2,17,2017,1046.49462365591,46848.5268817204,58702.7326523297,9,15.1,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>9</td></tr></table>"
120,29,7.947270443,-76.66487793,2.71,2839.2,17,2017,1047.67527675277,55095.9963099631,67752.0581180812,10,15,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>10</td></tr></table>"
121,29,7.948063343,-76.66493215,2.18,1080.6,17,2017,495.688073394495,41284.9082568807,52763.2624617737,11,15.1,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>11</td></tr></table>"
122,29,7.949203485,-76.6689955,2.13,2236.6,17,2017,1050.04694835681,44594.4835680751,56437.5602503912,12,15.1,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>12</td></tr></table>"
123,29,7.948357924,-76.66851968,3.87,4298.7,17,2017,1110.77519379845,44096.7183462532,60192.2144702842,13,13.8,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>13</td></tr></table>"
124,29,7.947470241,-76.66853534,4.04,3681.4,17,2017,911.237623762376,48994.3069306931,65540.3565181518,14,14.5,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>14</td></tr></table>"
125,29,7.946571043,-76.6687583,4.16,4761.9,17,2017,1144.6875,47503.8822115385,61433.2642628205,15,14.3,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>15</td></tr></table>"
126,29,7.945649239,-76.66901823,4.66,4628.6,17,2017,993.261802575107,43455.7725321888,60183.3366237482,16,13,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>16</td></tr></table>"
127,29,7.944704292,-76.66916008,4.83,3697.5,17,2017,765.527950310559,52758.198757764,64278.0986542443,17,13.4,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>17</td></tr></table>"
129,29,7.943706597,-76.66920444,4.54,7290.5,17,2017,1605.83700440529,52285.4625550661,62098.9279368576,18,14.5,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>18</td></tr></table>"
130,29,7.942641437,-76.6691594,3.44,5184.4,17,2017,1507.09302325581,55008.5174418605,65597.0811046512,19,15,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>19</td></tr></table>"
131,29,7.941602929,-76.66961437,2.66,2580,17,2017,969.924812030075,46350.6390977444,54520.3355263158,20,14.1,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>20</td></tr></table>"
132,29,7.940263358,-76.66954171,3.48,4725.7,17,2017,1357.95977011494,50960.4166666667,59662.1647509578,21,14.3,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>21</td></tr></table>"
